"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","region","dev_class"
"FI1D",91,9.24166666666667,37.8,2.78,4.3,96.14,"FI","Pohjois- ja It""a-Suomi","transizione"
"FR10",162,9.25833333333333,54.3333333333333,2.83,8.1,96.1,"FR","Ile de France","piu_sviluppata"
"FRB0",83,8.01666666666667,32.6666666666667,1.5,3.8,90.13,"FR","Centre - Val de Loire","transizione"
"FRC1",85,7.68181818181818,35.8666666666667,0.93,2.3,85.52,"FR","Bourgogne","transizione"
"FRC2",77,9.27272727272727,32.7,2.93,5.1,90.05,"FR","Franche-Comt'e","transizione"
"FRD1",80,6.91,34.5,1.25,2.8,88.095,"FR","Basse-Normandie","transizione"
"FRD2",84,8.49166666666667,33.7333333333333,1.53,2.5,88.845,"FR","Haute-Normandie","transizione"
"FRE1",79,10.1166666666667,35.7666666666667,0.91,2.9,92.58,"FR","Nord-Pas de Calais","transizione"
"FRE2",73,10.75,31.6,1.49,2.3,89.38,"FR","Picardie","meno_sviluppata"
"FRF1",92,8.05,37.6666666666667,1.86,4.9,92.775,"FR","Alsace","transizione"
"FRF2",84,9.48181818181818,31.3,0.85,1.4,89.045,"FR","Champagne-Ardenne","transizione"
"FRF3",73,9.43333333333333,31.0666666666667,1.29,2.1,90.815,"FR","Lorraine","meno_sviluppata"
"FRG0",91,6.625,38.6,1.33,3.6,90.32,"FR","Pays de la Loire","transizione"
"FRH0",86,6.95,40.3666666666667,1.75,4.1,90.17,"FR","Bretagne","transizione"
"FRI1",90,8.83333333333333,39.8,1.79,3,91.875,"FR","Aquitaine","transizione"
"FRI2",78,6.2,36.9666666666667,1.33,NA,80.71,"FR","Limousin","transizione"
"FRI3",83,9.28333333333333,33.3,0.9,1.7,90.26,"FR","Poitou-Charentes","transizione"
"FRJ1",80,12.8833333333333,38.2666666666667,2.59,3.4,89.205,"FR","Languedoc-Roussillon","transizione"
"FRJ2",91,7.31666666666667,44.2,4.44,6.8,88.295,"FR","Midi-Pyr'en'ees","transizione"
"FRK1",82,8.01,30.1333333333333,2.15,2.8,88.67,"FR","Auvergne","transizione"
"FRK2",101,8.34166666666667,44.5666666666667,3,5.3,91.58,"FR","Rh^one-Alpes","piu_sviluppata"
"FRL0",105,8.96666666666667,40.7333333333333,2.16,4.3,91.425,"FR","Provence-Alpes-C^ote d'Azur","piu_sviluppata"
"FRM0",86,10.1333333333333,27.7333333333333,0.37,NA,80.97,"FR","Corse","transizione"
"HR03",66,9.08333333333333,24.9333333333333,0.65,1.5,93.69,"HR","Jadranska Hrvatska","meno_sviluppata"
"HU11",158,3.56,55.5333333333333,2.76,13.6,97.81,"HU","Budapest","piu_sviluppata"
"HU12",61,3.2,32.9666666666667,0.62,8.2,96.81,"HU","Pest","meno_sviluppata"
