"geo","country","region","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"EE00","EE","Eesti","transizione",7.79166666666667,41.2333333333333,1.75,162.51,94.92
"BG41","BG","Yugozapaden","transizione",5.23333333333333,43.1,1.18,130.36,93.115
"SE32","SE","Mellersta Norrland","piu_sviluppata",11.15,40.2333333333333,0.7,103.69,93.29
"SE12","SE","""Ostra Mellansverige","piu_sviluppata",13.425,44.6666666666667,3.65,98.29,95.77
"ITG1","IT","Sicilia","meno_sviluppata",18.2916666666667,14.8,0.92,81.71,90.915
"FRD2","FR","Haute-Normandie","transizione",8.49166666666667,33.7333333333333,1.53,47.49,88.845
"FRF3","FR","Lorraine","meno_sviluppata",9.43333333333333,31.0666666666667,1.29,43.03,90.815
"NL21","NL","Overijssel","piu_sviluppata",4.03333333333333,39.9333333333333,1.25,50.25,99.695
"AT21","AT","K""arnten","piu_sviluppata",6.1125,33.6,2.98,135.77,93.245
"MT00","MT","Malta","piu_sviluppata",3.78333333333333,32.2333333333333,0.67,152.62,95.27
"RO11","RO","Nord-Vest","meno_sviluppata",4.675,19.3333333333333,0.25,451.52,94.525
"FRL0","FR","Provence-Alpes-C^ote d'Azur","piu_sviluppata",8.96666666666667,40.7333333333333,2.16,36.64,91.425
"HU22","HU","Nyugat-Dun'ant'ul","meno_sviluppata",2.94285714285714,25.3333333333333,1.13,313.6,95.945
"ES61","ES","Andaluc'ia","meno_sviluppata",21.9916666666667,33.9666666666667,1.06,71.95,97.235
"BG33","BG","Severoiztochen","meno_sviluppata",9.05555555555556,25.9666666666667,0.35,186.67,92.615
"AT11","AT","Burgenland","transizione",5.15,31.3666666666667,0.84,181.16,94.185
"ITF5","IT","Basilicata","meno_sviluppata",8.49090909090909,17.6,0.54,82.48,91.375
"PT20","PT","Regi~ao Aut'onoma dos Acores","meno_sviluppata",7.25,15.8333333333333,0.41,89.14,92.675
"BE35","BE","Prov. Namur","transizione",9.15454545454545,42.7666666666667,1.25,70.06,92.59
"ES52","ES","Comunitat Valenciana","transizione",16.7333333333333,38.2,1.2,61.36,98.41
"BG31","BG","Severozapaden","meno_sviluppata",18.8777777777778,19.9,0.36,185.95,86.75
