"geo","country","region","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"CZ02","CZ","Stredn'i Cechy","transizione",4.24166666666667,25.6,2.28,273.1,94.655
"CZ03","CZ","Jihoz'apad","transizione",4.06666666666667,21.6,1.57,191.48,96.11
"CZ04","CZ","Severoz'apad","meno_sviluppata",6.52727272727273,15.1,0.38,295.37,93.015
"CZ05","CZ","Severov'ychod","meno_sviluppata",4.54166666666667,20.9333333333333,1.38,240.85,93.66
"CZ06","CZ","Jihov'ychod","transizione",3.86666666666667,27.7666666666667,2.52,257.32,94.055
"CZ07","CZ","Stredn'i Morava","meno_sviluppata",4.45833333333333,24.5666666666667,1.58,232.85,93.97
"CZ08","CZ","Moravskoslezsko","meno_sviluppata",7.75,22.5666666666667,1.16,281.62,94.4
"EE00","EE","Eesti","transizione",7.79166666666667,41.2333333333333,1.75,162.51,94.92
"ES11","ES","Galicia","transizione",12.0083333333333,41.3666666666667,1.1,51.94,96.51
"ES12","ES","Principado de Asturias","transizione",13.1583333333333,44.5666666666667,0.87,66.93,97.155
"ES13","ES","Cantabria","transizione",11.9916666666667,43.5,0.96,44.62,97.505
"ES21","ES","Pa'is Vasco","piu_sviluppata",12.1666666666667,55,2.32,41.33,97.765
"ES22","ES","Comunidad Foral de Navarra","piu_sviluppata",12.0083333333333,48.7333333333333,1.91,41.68,98.095
"ES23","ES","La Rioja","transizione",12.2333333333333,40.0333333333333,0.75,53.94,97.475
"ES24","ES","Arag'on","transizione",10.9416666666667,40.5666666666667,1.02,49.55,98.15
"ES30","ES","Comunidad de Madrid","piu_sviluppata",12.8666666666667,49.6666666666667,1.93,43.42,98.77
"ES41","ES","Castilla y Le'on","transizione",12.2416666666667,39.3666666666667,1.37,49.6,97.8
"ES42","ES","Castilla-La Mancha","meno_sviluppata",16.075,31.3666666666667,0.8,50.91,97.215
"ES43","ES","Extremadura","meno_sviluppata",19.7916666666667,29.2333333333333,0.74,61.53,97.275
"ES51","ES","Catalu~na","transizione",12.5166666666667,42.4666666666667,1.78,44.97,98.435
"ES52","ES","Comunitat Valenciana","transizione",16.7333333333333,38.2,1.2,61.36,98.41
"ES53","ES","Illes Balears","transizione",14.7,36.3,0.48,51.7,98.635
"ES61","ES","Andaluc'ia","meno_sviluppata",21.9916666666667,33.9666666666667,1.06,71.95,97.235
"ES62","ES","Regi'on de Murcia","meno_sviluppata",14.875,33.7333333333333,1.09,61.05,98.465
"ES63","ES","Ciudad de Ceuta","meno_sviluppata",30.9545454545455,24.7333333333333,0.21,88.94,96.255
"ES64","ES","Ciudad de Melilla","meno_sviluppata",28.7888888888889,34.5,0.35,84.84,99.31
"ES70","ES","Canarias","meno_sviluppata",23.8166666666667,35.6333333333333,0.56,76.44,98.35
"FI19","FI","L""ansi-Suomi","transizione",9.38333333333333,40.2,2.74,139.22,97.345
"FI1B","FI","Helsinki-Uusimaa","piu_sviluppata",9.73333333333333,49.8333333333333,3.77,121.84,98.3
"FI1C","FI","Etel""a-Suomi","transizione",8.825,38.1333333333333,1.87,139.01,96.585
